id;param_name;year;value;eenheid;x_avg;y_avg
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2010;4.11111;DIMSLS;123302;472649
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2011;2;DIMSLS;117895;474035
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2012;3;DIMSLS;127013;476532
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2014;4.66667;DIMSLS;118518;472794
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2015;2.71429;DIMSLS;119446;480384
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2016;5.28571;DIMSLS;122235;470826
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2017;3.66667;DIMSLS;119681;466061
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2018;2.71429;DIMSLS;118761;479492
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2019;4.14286;DIMSLS;123894;468481
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2020;3;DIMSLS;118578;472045
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2021;2.6;DIMSLS;119133;481081
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2022;3;DIMSLS;121455;471960
BEMSDOVZDE_SOORT;Bemonsterde oeverzijde (uitgedrukt in waardebereik);2023;1.66667;DIMSLS;117484;472896
BEMSRBTE_m;Monsterbreedte (m);2010;2.66667;m;123302;472649
BEMSRBTE_m;Monsterbreedte (m);2011;1.25;m;117895;474035
BEMSRBTE_m;Monsterbreedte (m);2012;1.4275;m;127013;476532
BEMSRBTE_m;Monsterbreedte (m);2014;3.74167;m;118518;472794
BEMSRBTE_m;Monsterbreedte (m);2015;2.12857;m;119446;480384
